Name,Job Title,Location,Description,Company,Relative Time,Snippet,Link,View Job Link
Oswaalbooks,Hiring for Freelancer Copy Editor,"Agra, Uttar Pradesh","Bachelor's degree/post-graduation in English, Journalism or communications. Command of the English language, including grammar, syntax, punctuation and style.",,,,,
inDrive,Communication Manager India,"Delhi, Delhi",Strategically lead crisis communications efforts as needed. 3+ years experience in public relations and/or communications.,,,,,
Vital Strategies,Communication Manager,Delhi,"Experience working in public health communications. Minimum 6 years of PR, communication experience; Track communication activities and prepare and submit PRâ€¦",,,,,
The Hans Foundation,Intern-Communication,"Gurugram, Haryana","Good Written, Verbal, and telephonic communication skills. This role is crucial in managing vendor relationships and administrative tasks specific to ourâ€¦",,,,,
Myntra.com,Associate - Communication Coach,"Bengaluru, Karnataka",For process and communication skills training. Excellent communication and presentation skills. Processes and help them up their communication game.,,,,,
Micron,India Communication Lead,"Sanand, Gujarat",Drive marketing and communication priorities in India. Provide communications guidance and counsel to local leadership and other key collaborators to ensureâ€¦,,,,,
Prateek Group,AVP - Corporate Communication,"Noida, Uttar Pradesh","Plan and execute all digital marketing, marketing database, email, social media and display advertising campaigns.",,,,,
John Cockerill,Communication Business Partner,"Mumbai, Maharashtra",Strategic thinking: capable of interpreting business objectives into actionable communication strategies and securing validation for these actions from both theâ€¦,,,,,
Cummins Inc.,JM - Marketing Coordinator PG,India,"Compiles presentations and other communications when outline is defined, working with others to gather content. Work Closely with Marcom Team.",,,,,
Ashoka University,Communication Consultant,India,"Strong communication skills, verbal and written. Excellent communication skills and an ability to engage with diverse content. Interest in Indian public policy.",,,,,
Ajmera Group,Content Writer â€“ Executive,"Andheri West, Mumbai, Maharashtra","Bachelorâ€™s degree in communications, marketing, english, journalism, or related field. Our Prizes and Recognitions programme proudly recognises the dedicationâ€¦",,,,,
Larsen & Toubro,Accounts Executive/Accountant,"Jamnagar, Gujarat","5 to 15 Years in the field of accounts, construction experience will be an advantage. BACHELOR OF COMMERCE HONOURS (BCOM HONS).",,,,,
DriveTech Intelligence,Accounts Executive/Accountant,"Pune, Maharashtra",We are seeking a motivated MBA graduate in Accounting and Finance with 1-6 years of experience to join our finance team in Pune.,,,,,
Larsen & Toubro,Accounts Executive/Accountant,"Chennai, Tamil Nadu",POST GRADUATE DIPLOMA IN COMPUTER SCIENCE.,,,,,
JLL,Senior Finance Analyst - Accounts Receivable,"Gurugram, Haryana",Analysing and reconciling cash/amount received in the Bank Accounts and Lockboxes. Analyze and research clientsâ€™ aging history against the over/short payments.,,,,,
Badve Group,Accounts Executive/Accountant,"Pune, Maharashtra","Regulatory Compliance, Accounts Payable &amp; Treasury Management. Timely preparation of CRM Report (Cascaded to - Top Plant Management).",,,,,
SBP Group,Accounts Executive/Accountant,"Mohali, Punjab",The position holder will be responsible to perform and supervise daily accounting work required to maintain the books of accounts.,,,,,
MetLife,Accounts Executive/Accountant,"Jaipur, Rajasthan","Good keyboarding speed-Basic computer skills, (windows) keying â€“ speed and accuracy. Global Budget &amp; Allocations team is handling Finance Operations for Variousâ€¦",,,,,
Oracle,Accounts Executive/Accountant,"Bengaluru, Karnataka","Provides administrative support for the accounting function including the areas of general ledger, accounts payable, accounts receivable, fixed assets, andâ€¦",,,,,
Boston Consulting Group,Intercompany Accounting Manager,"Delhi, Delhi","Lead initiatives to automate and optimize the month-end close process through global reconciliations and data integration, utilizing chart of accounts mappingâ€¦",,,,,
EllBee Hospitality Worldwide,Accounts Executive,"Delhi, Delhi","Gain valuable experience in accounts payable, inventory management, and payroll processing. Minimum of 4 years of experience in accounts payable or a relatedâ€¦",,,,,
Deloitte,Associate Analyst-Accounts Payable-Hyderabad,"Hyderabad, Telangana","At Deloitte, Accounting &amp; Financial Reporting group which is a part of the larger Finance team maintains and performs book keeping and internal accounting ofâ€¦",,,,,
Amplifon Group,Accounting Specialist - AP,"Gurugram, Haryana","E 10% Research, develop and implement improved processes to facilitate efficient GL account posting, reconciliation and compliance with internal controlâ€¦",,,,,
Atlas Copco (India) Private Ltd.,Accountant,"Pune, Maharashtra","Monthly account reconciliation relating to AP - SL GL reco. Develop and support a spirit of open communication, fairness and respect for the individual in allâ€¦",,,,,
Herbalife,"Sr Analyst, Accounts Payable - India","Bengaluru, Karnataka","The Global Business Services (GBS) Accounts Payable Staff Sr. main functions, which are not limited to: Properly perform the Accounts Payable functions for theâ€¦",,,,,
Cummins Inc.,Accounts Payable Analyst,"Pune, Maharashtra",Resolves moderately complex accounts payable issues and problems. Provides analytical support as a member of the accounts payable team.,,,,,
RedCheap,Graphic/Web Designer,Remote,"A web designer is responsible for creating the design and layout of a website or web pages. Web designers plan, create and code internet sites and web pages,â€¦",,,,,
InterGlobe Aviation (IndiGo),Graphic/Web Designer,"Gurugram, Haryana",Design intuitive interfaces for web and mobile applications. Conduct user research and create design roadmaps. Minimum 2+ years of UI-UX design experience.,,,,,
Startoon Labs,Graphic/Web Designer,"Hyderabad, Telangana",Design and develop app UI and share it with the software team for development. Test the app and get user feedback for the same. App and Website improvement.,,,,,
Philips,Graphic/Web Designer,"Bengaluru, Karnataka",Experience leading a team of designers to success and impact. You will engage the global community of designers and developers working across Philips toâ€¦,,,,,
SarTia Global,Graphic/Web Designer,"Noida, Uttar Pradesh","Strong understanding of the UI/UX concepts, Typography, Color theory, and Layouts. Proficient in Figma, Sketch, or any other design tools.",,,,,
Idea Usher,Graphic/Web Designer,"Mohali, Punjab","Full Stack Developer Job Details Position UI/UX Designer Location Mohali, India Job Type Full time, Remote Qualifications Experience Requirementâ€¦",,,,,
Asteria Aerospace,Graphic/Web Designer,"Bengaluru, Karnataka",You will be reporting to the Lead UI designer and will have complete ownership on new and exciting features. We have been a trusted partner to provide long-termâ€¦,,,,,
Amex,Graphic/Web Designer,"Bengaluru, Karnataka","Strong design portfolio showcasing designerâ€™s skills and expertise. Collaborate with your fellow designers, UX writers, UX researchers, product managers, andâ€¦",,,,,
Signify,UX/UI Designer,"Bengaluru, Karnataka","Signifyâ€™s digital portfolio includes IoT applications that leverage data generated by millions of light points in cities, offices, and other professionalâ€¦",,,,,
Virtusa,UI/UX Designer,"Chennai, Tamil Nadu","A thorough understanding of UX principles from on the job experience. Experience as a UX Designer ideally working in or for large, client-side companies.",,,,,
Nimesa Technologies,UI/UX Designer - Intern,"Bengaluru, Karnataka","Assist in the design and development of user interfaces for web applications. Collaborate with the development team to create wireframes, mockups, andâ€¦",,,,,
Technorex Infoways,UI/UX Designer (Remote),"Ahmedabad, Gujarat","Creating user-centered designs by understanding business requirements, and user feedback. Minimum 2 Years Of Experience In UI/UX Designing.",,,,,
Acelucid Technologies,UI/UX Designer Internship,"Dehradun, Uttarakhand","Build sitemaps, wireframes, and prototypes to outline structure and communicate ideas with project managers. Create and improve visual designs and user flows.",,,,,
LCX,Senior UI/UX Designer,"Gurugram, Haryana","Strong leadership skills and experience mentoring or managing a team of designers. Mentor and guide junior designers, fostering a collaborative and innovativeâ€¦",,,,,
Eglogics Softech Pvt. Ltd.,UI/UX Designer,"Noida, Uttar Pradesh",You will collaborate with cross-functional teams to design and develop user-centric products that meet both user needs and business goals.,,,,,
Larsen & Toubro,HR Manager,"Lucknow, Uttar Pradesh","Bridge management and employee relations by addressing demands, grievances or other issues. Develop and implement HR strategies and initiatives aligned with theâ€¦",,,,,
Larsen & Toubro,HR Manager,Karnataka,"Support employee relations initiatives, including handling grievances and disciplinary actions as needed. Ensure accurate recording of attendance, includingâ€¦",,,,,
Larsen & Toubro,HR Manager,"Hazira, Surat, Gujarat","Evaluate the impact of interventions on staff performance, efficiency, employee retention, and job satisfaction. Analyzing Business Structures and Processes:",,,,,
KPMG,HR Manager,"Noida, Uttar Pradesh","Role &amp; Responsibilities ï‚§ Should have knowledge about background verification process ï‚§ Document collection, review and updating in correct format in variousâ€¦",,,,,
Whirlpool,"Associate, HR Operations","Gurugram, Haryana",The HR Operations team effectively maintains employee information that meets the organization's legal obligations and assists in human resource management andâ€¦,,,,,
Prospus,Manager of HR and Administration,Remote,"Manage employee relations, address grievances, and resolve any issues or conflicts. Oversee performance management processes and employee development programs.",,,,,
"Deltek, Inc.",Assoc HR Specialist,Remote,Maintain and update employee resource pages. Ensure the accuracy and confidentiality of employee data. Respond to employee inquiries and concerns promptly andâ€¦,,,,,
Zydus Group,HR Manager,"Ahmedabad, Gujarat","Act as a point of contact for employee inquiries and grievances, providing guidance and support to resolve issues promptly.",,,,,
Industrial Light & Magic,HR Coordinator,"Mumbai, Maharashtra","Acts as key point of contact for employee questions. This role brings resourceful, flexible and a critical thinking mindset to address everyday issues andâ€¦",,,,,
Disney,HR Manager,"Mumbai, Maharashtra","Acts as key point of contact for employee questions. This role brings resourceful, flexible and a critical thinking mindset to address everyday issues andâ€¦",,,,,
Oracle,Senior HR Consultant,"Bengaluru, Karnataka",Manage complex employee relations issues and conduct investigations in support of corporate ethics and values. Lead and support special projects.,,,,,
KPMG,HR Talent Advisor Senior,"Gurugram, Haryana","3+ years of experience in Strategic HR business partnering , end to end employee life cycle management . Note -Only relevant candidates will be contacted .",,,,,
Qualcomm,HR Manager,"Hyderabad, Telangana","Lead strategic activities, such as talent discussions, business transactions (merger, acquisition, divestiture), employee engagement, organizational design, andâ€¦",,,,,
Sun Pharmaceutical Industries Ltd,Senior Executive - Human Resources (API),"Dewas, Madhya Pradesh",Responsible for all location based &amp; corporate driven employee engagement implementation at site. Responsible for On time completion of Goal settings ofâ€¦,,,,,
DXC Technology,Analyst I HR Operations,"Bengaluru, Karnataka","Respond to employee inquiries, offering assistance with HR-related questions and issues. Collaborate with HR and cross-functional teams on various HR projectsâ€¦",,,,,
